LDEV_Response_13-2.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:2A:21","00:2A:DF","00:2A:E0","00:2A:E1","00:2A:E2","00:2A:E3","00:2A:E4","00:2A:E5","00:3B:6B"
"24","2014/04/01 19:23",-3,-3,-3,-3,-3,-3,-3,-3,-3
"25","2014/04/01 19:28",-3,-3,-3,-3,-3,-3,-3,-3,-3
"26","2014/04/01 19:33",-3,-3,-3,-3,-3,-3,-3,-3,-3
"27","2014/04/01 19:38",-3,-3,-3,-3,-3,-3,-3,-3,-3
"28","2014/04/01 19:43",-3,-3,-3,-3,-3,-3,-3,-3,-3
"29","2014/04/01 19:48",-3,-3,-3,-3,-3,-3,-3,-3,-3
"30","2014/04/01 19:53",-3,-3,-3,-3,-3,-3,-3,-3,-3
"31","2014/04/01 19:58",-3,-3,-3,-3,-3,-3,-3,-3,-3
"32","2014/04/01 20:03",-3,-3,-3,-3,-3,-3,-3,-3,-3
"33","2014/04/01 20:08",-3,-3,-3,-3,-3,-3,-3,-3,-3
"34","2014/04/01 20:13",-3,-3,-3,-3,-3,-3,-3,-3,-3
"35","2014/04/01 20:18",-3,-3,-3,-3,-3,-3,-3,-3,-3
"36","2014/04/01 20:23",-3,-3,-3,-3,-3,-3,-3,-3,-3
"37","2014/04/01 20:28",-3,-3,-3,-3,-3,-3,-3,-3,-3
"38","2014/04/01 20:33",-3,-3,-3,-3,-3,-3,-3,-3,-3
"39","2014/04/01 20:38",-3,-3,-3,-3,-3,-3,-3,-3,-3
"40","2014/04/01 20:43",-3,-3,-3,-3,-3,-3,-3,-3,-3
"41","2014/04/01 20:48",-3,-3,-3,-3,-3,-3,-3,-3,-3
"42","2014/04/01 20:53",-3,-3,-3,-3,-3,-3,-3,-3,-3
"43","2014/04/01 20:58",-3,-3,-3,-3,-3,-3,-3,-3,-3
"44","2014/04/01 21:03",-3,-3,-3,-3,-3,-3,-3,-3,-3
"45","2014/04/01 21:08",-3,-3,-3,-3,-3,-3,-3,-3,-3
"46","2014/04/01 21:13",-3,-3,-3,-3,-3,-3,-3,-3,-3
"47","2014/04/01 21:18",-3,-3,-3,-3,-3,-3,-3,-3,-3
"48","2014/04/01 21:23",-3,-3,-3,-3,-3,-3,-3,-3,-3
"49","2014/04/01 21:28",-3,-3,-3,-3,-3,-3,-3,-3,-3
"50","2014/04/01 21:33",-3,-3,-3,-3,-3,-3,-3,-3,-3
"51","2014/04/01 21:38",-3,-3,-3,-3,3360,-3,-3,-3,-3
"52","2014/04/01 21:43",-3,-3,-3,-3,-3,-3,-3,-3,-3
"53","2014/04/01 21:48",-3,-3,-3,-3,-3,-3,-3,-3,-3
"54","2014/04/01 21:53",-3,-3,-3,-3,-3,-3,-3,-3,-3
"55","2014/04/01 21:58",-3,-3,-3,-3,-3,-3,-3,-3,-3
"56","2014/04/01 22:03",-3,-3,-3,-3,-3,-3,-3,-3,-3
"57","2014/04/01 22:08",-3,-3,-3,-3,-3,-3,-3,-3,-3
"58","2014/04/01 22:13",-3,-3,-3,-3,-3,-3,-3,-3,-3
"59","2014/04/01 22:18",-3,-3,-3,-3,-3,-3,-3,-3,-3
"60","2014/04/01 22:23",-3,-3,-3,-3,-3,-3,-3,-3,-3
"61","2014/04/01 22:28",-3,-3,-3,-3,-3,-3,-3,-3,-3
"62","2014/04/01 22:33",-3,-3,-3,-3,-3,-3,-3,-3,-3
"63","2014/04/01 22:38",-3,-3,-3,-3,-3,-3,-3,-3,-3
"64","2014/04/01 22:43",-3,-3,-3,-3,-3,-3,-3,-3,-3
"65","2014/04/01 22:48",-3,-3,-3,-3,-3,-3,-3,-3,-3
"66","2014/04/01 22:53",-3,-3,-3,-3,-3,-3,-3,-3,-3
"67","2014/04/01 22:58",-3,-3,-3,-3,-3,-3,-3,-3,-3
"68","2014/04/01 23:03",-3,-3,-3,-3,-3,-3,-3,-3,-3
"69","2014/04/01 23:08",-3,-3,-3,-3,-3,-3,-3,-3,-3
"70","2014/04/01 23:13",-3,-3,-3,-3,3060,-3,-3,-3,-3
"71","2014/04/01 23:18",-3,-3,-3,-3,-3,-3,-3,-3,-3
"72","2014/04/01 23:23",-3,-3,-3,-3,-3,-3,-3,-3,-3
"73","2014/04/01 23:28",-3,-3,-3,-3,-3,-3,-3,-3,-3
"74","2014/04/01 23:33",-3,-3,-3,-3,5816,-3,-3,4248,-3
"75","2014/04/01 23:38",-3,-3,-3,-3,5821,-3,-3,4558,-3
"76","2014/04/01 23:43",-3,-3,-3,-3,4889,-3,-3,5564,-3
"77","2014/04/01 23:48",-3,-3,-3,-3,5146,-3,-3,5381,-3
"78","2014/04/01 23:53",-3,-3,-3,-3,4395,-3,-3,5212,-3
"79","2014/04/01 23:58",-3,-3,-3,-3,4678,-3,-3,5121,-3
"80","2014/04/02 00:03",-3,-3,-3,-3,4195,-3,-3,4707,-3
"81","2014/04/02 00:08",-3,-3,-3,-3,5375,-3,-3,3962,-3
"82","2014/04/02 00:13",-3,-3,-3,-3,7235,-3,-3,4749,-3
"83","2014/04/02 00:18",-3,-3,-3,-3,3526,-3,-3,4801,-3
"84","2014/04/02 00:23",-3,-3,-3,-3,3647,-3,-3,4044,-3
"85","2014/04/02 00:28",-3,-3,-3,-3,4234,-3,-3,3809,-3
"86","2014/04/02 00:33",-3,-3,-3,-3,3691,-3,-3,4947,-3
"87","2014/04/02 00:38",-3,-3,-3,-3,3313,-3,-3,4301,-3
"88","2014/04/02 00:43",-3,-3,-3,-3,-3,-3,-3,4610,-3
"89","2014/04/02 00:48",-3,-3,-3,-3,4877,-3,-3,4579,-3
"90","2014/04/02 00:53",-3,-3,-3,-3,4627,-3,-3,4822,-3
"91","2014/04/02 00:58",-3,-3,-3,-3,3843,-3,-3,4182,-3
"92","2014/04/02 01:03",-3,-3,-3,-3,3561,-3,-3,4761,-3
"93","2014/04/02 01:08",-3,-3,-3,-3,-3,-3,-3,5578,-3
"94","2014/04/02 01:13",-3,-3,-3,-3,-3,-3,-3,5601,-3
"95","2014/04/02 01:18",-3,-3,-3,-3,-3,-3,-3,3565,-3
"96","2014/04/02 01:23",-3,-3,-3,-3,-3,-3,-3,-3,-3
